TotalTime,Age,Gender,BreakfastToday,BreakfastUsually,HowHungry,TimeProposerInfo,TimeProposer,ProposedAmount,TimeResponderInfo,TimeResponder,TimeQ1,Q1,TimeQ2,Q2,TimeQ3,Q3,TimeQ4,Q4,TimeQ5,Q5,TimeQ6,Q6,TimeQ7,Q7,TimeQ8,Q8,QuestionsCorrect,LowestAcceptable,HighestAcceptable,UGFamiliar,QuestionsFamiliar,TotalQuestionTime,Condition,ProposerFirst,TotalProposerTime,TotalResponderTime,Cooperation,TotalCooperationTime,Condition.Name,TimeInfo
544,79,M,0,1,8,62.039,18.26,5,20.885,58.366,23.765,0,57.018,0,22.451,1,82.17,1,18.446,0,22.425,0,62.896,1,45.867,0,0.375,5,5,0,0,335.038,0,1,80.299,79.251,10,159.55,No Breakfast,82.924
474,44,M,1,1,1,48.151,19.257,5,24.518,47.51,12.047,0,33.308,1,33.861,1,81.261,0,37.372,0,55.568,1,27.472,1,31.39,0,0.5,3.5,5,0,0,312.279,1,1,67.408,72.028,8.5,139.436,Breakfast,72.669
423,41,F,1,1,1,43.291,22.261,5,23.99,39.171,11.793,0,39.609,0,20.226,0,61.743,0,32.153,0,41.633,1,27.014,0,34.156,0,0.125,0,5,0,0,268.327,1,1,65.552,63.161,5,128.713,Breakfast,67.281
1015,41,M,0,0,4,362.106,36.72,5,100.073,89.346,33.618,1,34.577,1,51.667,1,43.117,1,29.661,1,35.325,0,63.939,1,86.156,0,0.75,4.5,5.5,0,1,378.06,0,1,398.826,189.419,9.5,588.245,No Breakfast,462.179
637,47,F,1,1,1,57.276,18.947,2,26.685,95.772,19.162,0,29.493,0,25.67,0,126.821,1,27.169,0,42.124,0,59.042,1,76.611,1,0.375,5,5,0,0,406.092,1,1,76.223,122.457,7,198.68,Breakfast,83.961
620,45,M,0,1,5,85.373,18.006,5,39.02,85.635,32.803,0,80.006,0,50.2,0,54.901,0,37.821,0,43.933,1,41.862,1,20.158,0,0.25,0.5,10,0,0,361.684,0,1,103.379,124.655,5.5,228.034,No Breakfast,124.393
548,78,F,1,0,1,78.396,19.896,5,56.795,57.405,15.328,0,61.007,0,42.628,0,35.885,0,12.873,0,39.992,0,47.065,1,35.891,0,0.125,5,10,0,0,290.669,1,1,98.292,114.2,10,212.492,Breakfast,135.191
503,43,M,1,1,3,37.942,14.705,5,9.909,41.523,19.689,0,32.796,0,64.086,0,29.112,1,23.181,1,64.812,0,53.28,1,77.498,0,0.375,5,10,0,0,364.454,1,1,52.647,51.432,10,104.079,Breakfast,47.851
462,23,F,1,1,1,56.736,14.313,4.5,24.635,42.901,26.078,0,48.833,0,42.014,0,21.887,1,14.403,0,40.687,1,65.559,0,37.824,0,0.25,2.5,5.5,0,0,297.285,1,1,71.049,67.536,7,138.585,Breakfast,81.371
483,66,F,1,1,2,60.231,21.152,5,49.496,52.661,55.253,0,31.378,1,20.441,1,40.504,1,24.801,1,23.572,0,38.753,1,34.542,0,0.625,3,10,0,0,269.244,1,1,81.383,102.157,8,183.54,Breakfast,109.727
