"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Replication 121",0.433865332548796,0.175036688571687,0.0828112741211378,0.529765648901501,1,"F",1,0,1,"Y",2,"Breakfast"
"Replication 122",0.975814654336079,0.00618162412352543,0.962260249543372,0.964934414574029,1,"M",1,0,3,"Y",2,"Breakfast"
"Replication 123",0.159110353643423,0.388652050462813,0.865811880788722,0.140688143699017,1,"F",1,1,1,"Y",2,"Breakfast"
"Replication 124",0.113017711367259,0.436142940194579,0.0786159284372107,0.320166484210702,1,"F",1,1,3,"Y",2,"Breakfast"
"Replication 125",0.142222598647339,0.706636360790376,0.958104371226966,0.268393815602034,1,"M",1,1,3,"Y",3.5,"Breakfast"
"Replication 126",0.643506749473564,0.0813150524875613,0.637581251943418,0.859427691262174,1,"F",1,0,3,"Y",3.5,"Breakfast"
"Replication 127",0.914954528494726,0.303452956872684,0.0454930212914559,0.545627220302041,1,"M",1,1,3,"Y",3.5,"Breakfast"
"Replication 128",0.0773967887902654,0.89156602584435,0.978518495304877,0.325400042425067,1,"M",1,1,5,"Y",3.5,"Breakfast"
"Replication 129",0.112333566456101,0.316908952299048,0.42054616478599,0.262664816385934,1,"M",1,1,2,"Y",2.5,"Breakfast"
"Replication 13",0.924756377749352,0.0489048315245832,0.0525714769237404,0.98917014017069,0,"F",0,0,4,"Y",4.5,"No Breakfast"
"Replication 130",0.260406041507482,0.06826235819941,0.766524184314066,0.893615103411485,1,"F",1,0,1,"Y",2.5,"Breakfast"
"Replication 131",0.705871046351901,0.30060139014668,0.9150274928628,0.68036346884031,1,"F",1,1,1,"Y",2.5,"Breakfast"
"Replication 132",0.932441483949148,0.352004679249328,0.354134470728929,0.524848667954789,1,"M",1,1,6,"Y",2.5,"Breakfast"
"Replication 14",0.938735824526129,0.0656191784288303,0.200767989068705,0.915083361099278,0,"F",0,0,1,"Y",4.5,"No Breakfast"
"Replication 15",0.910606102937722,0.0451574595871911,0.204134583173705,0.98983473613968,0,"F",0,0,6,"Y",4.5,"No Breakfast"
"Replication 16",0.934758301820073,0.0703916159894583,0.182449897857496,0.920567811925006,0,"M",0,1,7,"Y",4.5,"No Breakfast"
"Replication 17",0.928823244955811,0.150665565410727,0.0776902964158116,0.505372074193426,0,"M",0,0,7,"Y",4.25,"No Breakfast"
"Replication 18",0.939605750973423,0.0354518157225672,0.98645304095902,0.98799417825182,0,"F",0,0,2,"Y",4.25,"No Breakfast"
"Replication 19",0.933230794884915,0.110191370493029,0.0993842223361556,0.72912247133493,0,"M",0,1,5,"Y",4.25,"No Breakfast"
"Replication 2",0.974078477484215,0.260625818455192,0.626551633278941,0.0555221804250789,1,"F",1,1,5,"Y",3.75,"Breakfast"
"Replication 20",0.94879504294676,0.0214553889786994,0.491036520075133,0.987759911904106,0,"M",0,0,3,"Y",4.25,"No Breakfast"
"Replication 21",0.917822686070866,0.274775672903358,0.19111923661109,0.644274311241952,0,"F",0,1,8,"Y",6,"No Breakfast"
"Replication 22",0.0834958949118925,0.611558983338821,0.903677538249256,0.0741546555418113,0,"M",0,1,9,"Y",6,"No Breakfast"
"Replication 23",0.939543575350511,0.092263883540676,0.642262995020592,0.974726382623822,0,"F",0,0,3,"Y",6,"No Breakfast"
"Replication 24",0.896721636673348,0.044867193243975,0.98010931882768,0.975465988683767,0,"F",0,1,4,"Y",6,"No Breakfast"
"Replication 25",0.525334362438802,0.0487492817586682,0.100856679231056,0.981865186623947,0,"M",0,1,8,"N",6,"No Breakfast"
"Replication 26",0.918713687111075,0.0520305496987764,0.0542185016287157,0.974086006347029,0,"F",0,1,5,"N",6,"No Breakfast"
"Replication 27",0.904827037171874,0.0640003914424379,0.0802267818825596,0.894814776681938,0,"F",0,1,5,"N",6,"No Breakfast"
"Replication 28",0.951437395346932,0.0203813776988849,0.994714348120099,0.991762869379771,0,"M",0,1,6,"N",6,"No Breakfast"
"Replication 29",0.0990061213376158,0.0467301437151358,0.9943056376057,0.905963875638174,0,"F",0,1,3,"N",5.75,"No Breakfast"
"Replication 3",0.928725774466343,0.0615327359005639,0.351005539717884,0.97534386028148,1,"F",0,1,5,"Y",3.75,"Breakfast"
"Replication 30",0.905486424281081,0.0583210324883991,0.290376186544553,0.967861221647769,0,"F",0,1,9,"N",5.75,"No Breakfast"
"Replication 31",0.119670601582496,0.611078591739172,0.110218442494303,0.177501740584765,0,"M",0,1,6,"N",5.75,"No Breakfast"
